Init time, 0.050705
Iteration: 499, 0.066092, 35.660446
Iteration: 500, 0.068433, 35.731587
Iteration: 501, 0.069103, 35.802902
Iteration: 502, 0.065392, 35.870610
Iteration: 503, 0.071107, 35.943995
Iteration: 504, 0.063671, 36.009680
Iteration: 505, 0.067010, 36.078837
Iteration: 506, 0.067443, 36.148325
Iteration: 507, 0.065187, 36.215595
Iteration: 508, 0.064624, 36.282246
Iteration: 509, 0.064852, 36.348993
Iteration: 510, 0.071806, 36.422859
Iteration: 511, 0.072855, 36.497801
Iteration: 512, 0.069576, 36.569485
Iteration: 513, 0.065287, 36.636889
Iteration: 514, 0.067852, 36.707094
Iteration: 515, 0.069214, 36.778883
Iteration: 516, 0.066604, 36.847620
Iteration: 517, 0.063766, 36.913403
Iteration: 518, 0.066959, 36.982443
Iteration: 519, 0.066568, 37.051095
Iteration: 520, 0.067407, 37.120611
Iteration: 521, 0.068898, 37.192085
Iteration: 522, 0.067046, 37.261372
Iteration: 523, 0.064569, 37.327932
Iteration: 524, 0.070619, 37.400704
Iteration: 525, 0.066082, 37.468730
Iteration: 526, 0.069500, 37.540331
Iteration: 527, 0.065693, 37.608457
Iteration: 528, 0.065474, 37.676085
Iteration: 529, 0.067581, 37.745767
Iteration: 530, 0.066028, 37.813851
Iteration: 531, 0.066103, 37.882024
Iteration: 532, 0.065631, 37.949709
Iteration: 533, 0.066466, 38.018201
Iteration: 534, 0.065731, 38.086138
Iteration: 535, 0.067129, 38.155498
Iteration: 536, 0.063160, 38.220748
Iteration: 537, 0.065551, 38.288689
Iteration: 538, 0.066942, 38.357781
Iteration: 539, 0.066850, 38.427078
Iteration: 540, 0.065943, 38.495096
Iteration: 541, 0.062560, 38.559583
Iteration: 542, 0.064686, 38.626343
Iteration: 543, 0.064583, 38.692954
Iteration: 544, 0.064723, 38.759717
Iteration: 545, 0.066163, 38.827921
Iteration: 546, 0.067368, 38.897395
Iteration: 547, 0.064083, 38.963401
Iteration: 548, 0.068574, 39.034066
Iteration: 549, 0.067090, 39.103215
Iteration: 550, 0.065786, 39.171339
Iteration: 551, 0.063080, 39.236507
Iteration: 552, 0.068844, 39.307539
Iteration: 553, 0.068001, 39.378082
Iteration: 554, 0.070401, 39.450593
Iteration: 555, 0.067856, 39.520532
Iteration: 556, 0.075823, 39.598574
Iteration: 557, 0.063788, 39.664310
Iteration: 558, 0.065479, 39.731905
Iteration: 559, 0.062626, 39.796501
Iteration: 560, 0.070846, 39.869402
Iteration: 561, 0.067572, 39.939292
Iteration: 562, 0.065323, 40.007326
Iteration: 563, 0.066445, 40.076153
Iteration: 564, 0.066017, 40.144242
Iteration: 565, 0.064693, 40.210971
Iteration: 566, 0.064570, 40.277653
Iteration: 567, 0.064264, 40.343955
Iteration: 568, 0.063419, 40.409305
Iteration: 569, 0.066653, 40.477997
Iteration: 570, 0.064137, 40.544041
Iteration: 571, 0.067340, 40.613461
Iteration: 572, 0.077413, 40.692911
Iteration: 573, 0.069405, 40.764769
Iteration: 574, 0.065024, 40.831828
Iteration: 575, 0.062000, 40.895793
Iteration: 576, 0.065873, 40.963776
Iteration: 577, 0.094349, 41.060210
Iteration: 578, 0.074769, 41.137333
Iteration: 579, 0.073032, 41.212381
Iteration: 580, 0.070989, 41.285539
Iteration: 581, 0.066023, 41.353581
Iteration: 582, 0.066188, 41.421920
Iteration: 583, 0.066732, 41.490822
Iteration: 584, 0.064309, 41.557579
Iteration: 585, 0.062442, 41.622300
Iteration: 586, 0.064983, 41.689377
Iteration: 587, 0.062583, 41.754035
Iteration: 588, 0.065187, 41.821369
Iteration: 589, 0.065964, 41.889398
Iteration: 590, 0.064466, 41.955944
Iteration: 591, 0.064543, 42.022565
Iteration: 592, 0.065422, 42.090377
Iteration: 593, 0.064705, 42.157466
Iteration: 594, 0.064796, 42.225004
Iteration: 595, 0.066296, 42.293582
Iteration: 596, 0.064531, 42.360177
Iteration: 597, 0.063275, 42.425381
Iteration: 598, 0.066795, 42.494282
Iteration: 599, 0.062377, 42.558580
Iteration: 600, 0.065771, 42.626835
Iteration: 601, 0.064625, 42.693529
Iteration: 602, 0.065506, 42.761079
Iteration: 603, 0.065160, 42.828260
Iteration: 604, 0.062658, 42.892934
Iteration: 605, 0.065637, 42.960767
Iteration: 606, 0.065274, 43.028080
Iteration: 607, 0.066467, 43.096659
Iteration: 608, 0.079934, 43.178517
Iteration: 609, 0.066365, 43.246958
Iteration: 610, 0.065635, 43.314640
Iteration: 611, 0.065992, 43.382690
Iteration: 612, 0.063235, 43.447845
Iteration: 613, 0.065718, 43.515615
Iteration: 614, 0.066305, 43.583971
Iteration: 615, 0.065741, 43.651799
Iteration: 616, 0.065673, 43.719541
Iteration: 617, 0.065509, 43.787317
Iteration: 618, 0.062264, 43.851617
Iteration: 619, 0.065237, 43.918911
Iteration: 620, 0.062149, 43.982950
Iteration: 621, 0.066665, 44.051654
Iteration: 622, 0.065585, 44.119259
Iteration: 623, 0.064492, 44.185841
Iteration: 624, 0.064800, 44.252642
Iteration: 625, 0.065156, 44.319869
Iteration: 626, 0.065285, 44.387275
Iteration: 627, 0.065190, 44.454777
Iteration: 628, 0.065101, 44.521899
Iteration: 629, 0.064253, 44.588091
Iteration: 630, 0.069687, 44.660054
Iteration: 631, 0.063548, 44.725536
Iteration: 632, 0.064914, 44.792538
Iteration: 633, 0.065612, 44.860199
Iteration: 634, 0.065628, 44.927878
Iteration: 635, 0.065543, 44.995485
Iteration: 636, 0.064505, 45.061921
Iteration: 637, 0.065357, 45.129389
Iteration: 638, 0.065804, 45.197359
Iteration: 639, 0.064745, 45.264231
Iteration: 640, 0.062801, 45.328960
Iteration: 641, 0.064996, 45.396050
Iteration: 642, 0.065098, 45.463221
Iteration: 643, 0.064341, 45.529612
Iteration: 644, 0.068067, 45.599773
Iteration: 645, 0.066512, 45.668392
Iteration: 646, 0.064425, 45.734768
Iteration: 647, 0.065402, 45.802207
Iteration: 648, 0.063360, 45.867631
Iteration: 649, 0.070057, 45.939802
Iteration: 650, 0.064103, 46.006266
Iteration: 651, 0.067402, 46.076035
Iteration: 652, 0.072524, 46.150644
Iteration: 653, 0.066678, 46.219357
Iteration: 654, 0.066904, 46.288382
Iteration: 655, 0.066460, 46.357013
Iteration: 656, 0.065256, 46.424706
Iteration: 657, 0.062184, 46.489210
Iteration: 658, 0.064930, 46.556214
Iteration: 659, 0.062492, 46.620795
Iteration: 660, 0.065407, 46.688474
Iteration: 661, 0.064865, 46.755425
Iteration: 662, 0.066086, 46.823657
Iteration: 663, 0.067478, 46.893935
Iteration: 664, 0.061616, 46.957479
Iteration: 665, 0.065416, 47.025297
Iteration: 666, 0.064712, 47.092048
Iteration: 667, 0.065360, 47.159507
Iteration: 668, 0.062339, 47.223785
Iteration: 669, 0.066388, 47.292791
Iteration: 670, 0.066218, 47.361175
Iteration: 671, 0.067455, 47.430677
Iteration: 672, 0.065918, 47.498777
Iteration: 673, 0.065625, 47.566512
Iteration: 674, 0.062528, 47.630951
Iteration: 675, 0.066697, 47.699686
Iteration: 676, 0.064240, 47.765872
Iteration: 677, 0.068729, 47.836669
Iteration: 678, 0.067233, 47.906096
Iteration: 679, 0.066694, 47.974974
Iteration: 680, 0.068600, 48.046159
Iteration: 681, 0.067388, 48.115627
Iteration: 682, 0.067413, 48.185151
Iteration: 683, 0.066811, 48.254080
Iteration: 684, 0.066226, 48.322472
Iteration: 685, 0.062852, 48.387349
[MO833] TOTAL_MAIN_TIME: 48.476429
