Init time, 0.032323
Iteration: 560, 0.025933, 13.173697
Iteration: 561, 0.023690, 13.197388
Iteration: 562, 0.022907, 13.220297
Iteration: 563, 0.020138, 13.240436
Iteration: 564, 0.021691, 13.262128
Iteration: 565, 0.022087, 13.284216
Iteration: 566, 0.019680, 13.303897
Iteration: 567, 0.023447, 13.327345
Iteration: 568, 0.019892, 13.347238
Iteration: 569, 0.019215, 13.366455
Iteration: 570, 0.022820, 13.389276
Iteration: 571, 0.024618, 13.413895
Iteration: 572, 0.021747, 13.435643
Iteration: 573, 0.017941, 13.453585
Iteration: 574, 0.022605, 13.476192
Iteration: 575, 0.018037, 13.494230
Iteration: 576, 0.032016, 13.526248
Iteration: 577, 0.036799, 13.563048
Iteration: 578, 0.017883, 13.580933
Iteration: 579, 0.023189, 13.604123
Iteration: 580, 0.024420, 13.628544
Iteration: 581, 0.034235, 13.662780
Iteration: 582, 0.034092, 13.696873
Iteration: 583, 0.021447, 13.718321
Iteration: 584, 0.025570, 13.743897
Iteration: 585, 0.021424, 13.765322
Iteration: 586, 0.023675, 13.788999
Iteration: 587, 0.020148, 13.809150
Iteration: 588, 0.027466, 13.836617
Iteration: 589, 0.018385, 13.855003
Iteration: 590, 0.029588, 13.884593
Iteration: 591, 0.021131, 13.905726
Iteration: 592, 0.018843, 13.924571
Iteration: 593, 0.024488, 13.949061
Iteration: 594, 0.021409, 13.970471
Iteration: 595, 0.021907, 13.992380
Iteration: 596, 0.017171, 14.009552
Iteration: 597, 0.030138, 14.039692
Iteration: 598, 0.021181, 14.060875
Iteration: 599, 0.023615, 14.084492
Iteration: 600, 0.018491, 14.102984
Iteration: 601, 0.023574, 14.126559
Iteration: 602, 0.028887, 14.155447
Iteration: 603, 0.023510, 14.178959
Iteration: 604, 0.021272, 14.200232
Iteration: 605, 0.026066, 14.226299
Iteration: 606, 0.018834, 14.245136
Iteration: 607, 0.022296, 14.267434
Iteration: 608, 0.020878, 14.288314
Iteration: 609, 0.022859, 14.311175
Iteration: 610, 0.024386, 14.335563
Iteration: 611, 0.025668, 14.361233
Iteration: 612, 0.021002, 14.382236
Iteration: 613, 0.023859, 14.406097
Iteration: 614, 0.023035, 14.429133
Iteration: 615, 0.017162, 14.446297
Iteration: 616, 0.023015, 14.469314
Iteration: 617, 0.020674, 14.489990
Iteration: 618, 0.023618, 14.513610
Iteration: 619, 0.018276, 14.531887
Iteration: 620, 0.024732, 14.556621
Iteration: 621, 0.023575, 14.580198
Iteration: 622, 0.017629, 14.597829
Iteration: 623, 0.021319, 14.619150
Iteration: 624, 0.021866, 14.641018
Iteration: 625, 0.043173, 14.684192
Iteration: 626, 0.020234, 14.704428
Iteration: 627, 0.024406, 14.728836
